number,prob_x
275844,0.49
226334,0.48
294181,0.47
269474,0.5
260617,0.49
288373,0.49
247771,0.49
302260,0.49
231044,0.49
252071,0.49
216872,0.49
249362,0.49
236450,0.49
201373,0.49
264071,0.49
205321,0.49
327703,0.49
247307,0.49
237499,0.49
341583,0.49
276111,0.49
318221,0.49
316065,0.49
243906,0.49
303733,0.49
306892,0.49
208831,0.49
338199,0.49
216732,0.49
209481,0.49
279034,0.49
197334,0.49
200511,0.49
349953,0.49
324751,0.49
216529,0.49
200248,0.49
318700,0.49
320338,0.49
252599,0.49
269917,0.49
308343,0.49
333029,0.49
273167,0.49
241077,0.49
249063,0.49
240519,0.49
274582,0.49
325191,0.49
344729,0.49
255545,0.49
261932,0.49
345711,0.49
276668,0.49
286846,0.49
253540,0.49
287379,0.49
213892,0.49
281397,0.49
230135,0.49
297693,0.49
216896,0.49
227332,0.49
292996,0.49
256937,0.49
313011,0.49
215558,0.49
232847,0.49
212561,0.49
263982,0.49
314429,0.49
283402,0.49
256465,0.49
238009,0.49
296969,0.49
316243,0.49
230160,0.49
196763,0.49
232711,0.49
331502,0.49
273099,0.49
219430,0.49
249214,0.49
240235,0.49
298084,0.49
332914,0.49
267150,0.49
265999,0.49
223373,0.49
208782,0.49
255877,0.49
284992,0.49
333010,0.49
240792,0.49
332449,0.49
252286,0.49
319436,0.49
252261,0.49
251118,0.49
244479,0.49
208411,0.49
215405,0.49
217655,0.49
201490,0.49
302056,0.49
294076,0.49
216236,0.49
336849,0.49
259423,0.49
245153,0.49
281506,0.49
260870,0.49
220503,0.49
266371,0.49
301804,0.49
216430,0.49
266140,0.49
202766,0.49
239219,0.49
289610,0.49
323768,0.49
204382,0.49
281761,0.49
302687,0.49
248728,0.49
243201,0.49
277257,0.49
256226,0.49
215713,0.49
315379,0.49
261495,0.49
316447,0.49
204222,0.49
292857,0.49
248176,0.49
204209,0.49
287728,0.49
217855,0.49
320198,0.49
240807,0.49
225842,0.49
340827,0.49
329847,0.49
267941,0.49
209533,0.49
342877,0.49
304910,0.49
257891,0.49
346484,0.49
212605,0.49
287395,0.49
301894,0.49
297743,0.49
200943,0.49
293800,0.49
349013,0.49
230628,0.49
249198,0.49
330669,0.49
282028,0.49
331361,0.49
285298,0.49
256177,0.49
274876,0.49
253298,0.49
208737,0.49
326354,0.49
323803,0.49
225170,0.49
252397,0.49
315782,0.49
341906,0.49
197035,0.49
295514,0.49
212830,0.49
337102,0.49
302234,0.49
319553,0.49
203130,0.49
305575,0.49
301404,0.49
259052,0.49
308795,0.49
212990,0.49
241669,0.49
254648,0.49
214745,0.49
258432,0.49
295213,0.49
234646,0.49
268612,0.49
328883,0.49
270632,0.49
282167,0.49
223275,0.49
307553,0.49
198123,0.49
270218,0.49
234557,0.49
262127,0.49
242338,0.49
241358,0.49
342329,0.49
242052,0.49
282271,0.49
304077,0.49
308348,0.49
217358,0.49
213529,0.49
329798,0.49
219326,0.49
318254,0.49
303858,0.49
253885,0.49
304822,0.49
198074,0.49
226470,0.49
253366,0.49
255495,0.49
322119,0.49
264246,0.49
293864,0.49
341871,0.49
198655,0.49
336667,0.49
260967,0.49
292209,0.49
292078,0.49
244552,0.49
329764,0.49
232189,0.49
209037,0.49
255782,0.49
242435,0.49
293703,0.49
302335,0.49
345102,0.49
232410,0.49
324382,0.49
222388,0.49
338276,0.49
207854,0.49
204757,0.49
307101,0.49
348156,0.49
320246,0.49
284531,0.49
266987,0.49
236498,0.49
309957,0.49
319199,0.49
200545,0.49
336169,0.49
291060,0.49
211634,0.49
327469,0.49
330836,0.49
331509,0.49
296457,0.49
250501,0.49
278727,0.49
278313,0.49
314587,0.49
251972,0.49
323702,0.49
319330,0.49
291978,0.49
203917,0.49
307792,0.49
244418,0.49
247449,0.49
275422,0.49
210345,0.49
315277,0.49
333887,0.49
296113,0.49
315232,0.49
251170,0.49
245928,0.49
218652,0.49
216282,0.49
209610,0.49
297162,0.49
274639,0.49
316418,0.49
281799,0.49
330637,0.49
252264,0.49
226945,0.49
206061,0.49
213924,0.49
250489,0.49
251215,0.49
245125,0.49
240982,0.49
309095,0.49
238200,0.49
231127,0.49
261571,0.49
268270,0.49
225350,0.49
329965,0.49
329559,0.49
292287,0.49
291058,0.49
205081,0.49
305598,0.49
262657,0.49
210249,0.49
206005,0.49
199622,0.49
317423,0.49
232158,0.49
230424,0.49
296299,0.49
327983,0.49
298948,0.49
300621,0.49
205014,0.49
273783,0.49
284131,0.49
320866,0.49
295040,0.49
213876,0.49
217168,0.49
215422,0.49
287290,0.49
231866,0.49
311786,0.49
307780,0.49
229766,0.49
251000,0.49
308690,0.49
235785,0.49
270455,0.49
299517,0.49
291184,0.49
205800,0.49
267871,0.49
311733,0.49
236562,0.49
282564,0.49
244241,0.49
220557,0.49
218031,0.49
204923,0.49
251587,0.49
232523,0.49
222132,0.49
229510,0.49
233530,0.49
332472,0.49
339512,0.49
303683,0.49
307598,0.49
264450,0.49
278290,0.49
204740,0.49
317314,0.49
206588,0.49
196958,0.49
201322,0.49
264638,0.49
292877,0.49
338764,0.49
332346,0.49
237736,0.49
350252,0.49
309536,0.49
309085,0.49
246720,0.49
262813,0.49
276235,0.49
207170,0.49
261628,0.49
263379,0.49
313897,0.49
217790,0.49
341062,0.49
210738,0.49
215842,0.49
316466,0.49
239296,0.49
257456,0.49
333869,0.49
288910,0.49
327851,0.49
296808,0.49
289795,0.49
253876,0.49
348460,0.49
222335,0.49
280295,0.49
287771,0.49
210188,0.49
265430,0.49
231335,0.49
261008,0.49
255580,0.49
245812,0.49
241091,0.49
321260,0.49
321558,0.49
208349,0.49
246368,0.49
258199,0.49
284745,0.49
196734,0.49
235985,0.49
203285,0.49
316990,0.49
347285,0.49
240757,0.49
336677,0.49
217987,0.49
278906,0.49
301317,0.49
258434,0.49
287237,0.49
212819,0.49
280811,0.49
308279,0.49
252009,0.49
211221,0.49
207158,0.49
312640,0.49
263281,0.49
340892,0.49
343248,0.49
332172,0.49
309022,0.49
245607,0.49
290012,0.49
322669,0.49
337897,0.49
303776,0.49
326463,0.49
337799,0.49
323784,0.49
222843,0.49
221327,0.49
264758,0.49
333748,0.49
267442,0.49
296221,0.49
297794,0.49
232859,0.49
232636,0.49
241533,0.49
289213,0.49
287919,0.49
218303,0.49
223406,0.49
315905,0.49
260621,0.49
211340,0.49
271767,0.49
198654,0.49
202293,0.49
271597,0.49
280585,0.49
201283,0.49
280733,0.49
272066,0.49
245497,0.49
334949,0.49
273010,0.49
237028,0.49
285095,0.49
320397,0.49
242211,0.49
262334,0.49
255765,0.49
199890,0.49
205162,0.49
341821,0.49
277245,0.49
209114,0.49
331200,0.49
301501,0.49
233471,0.49
212676,0.49
284055,0.49
256576,0.49
345965,0.49
328482,0.49
280273,0.49
270721,0.49
199838,0.49
251095,0.49
206278,0.49
327221,0.49
265565,0.49
281562,0.49
300262,0.49
250379,0.49
215317,0.49
204639,0.49
211693,0.49
198644,0.49
239878,0.49
337387,0.49
277424,0.49
256332,0.49
254117,0.49
288365,0.49
198066,0.49
292318,0.49
237094,0.49
242459,0.49
218098,0.49
214611,0.49
260476,0.49
234149,0.49
211547,0.49
